Fault_Type,Temperature,Vibration,Pressure,Voltage,Current,FFT_Feature1,FFT_Feature2,Anomaly_Score,Sensor_ID,Year,Month,Day,Hour,Minute,Fault_Status
2,0.5743206621507542,0.6512983508968173,0.5933860124263393,0.7812555906506522,0.4310666503235811,0.6884876320995016,0.2750581269481224,0.4430210907458768,170,2015,1,26,9,6,1
2,0.4399875359551946,0.3478940999349022,0.41822123131773087,0.5545996170078211,0.5014641709881784,0.6161891442754253,0.4593714306573326,0.7746180817006081,119,2015,1,27,13,57,1
3,0.521621812578721,0.4586838073357534,0.3603310565902817,0.5403992105075088,0.4921775756422453,0.3692144130070174,0.7189464798742777,0.7129969192420214,197,2015,1,28,3,22,1
2,0.6383052722209199,0.5284656505842624,0.5253350186476138,0.5662801592995581,0.3906883465888287,0.08014006154922354,0.9356796941093479,0.6615393689491393,198,2015,1,29,8,34,1
3,0.4445048996936103,0.5046893145716018,0.36476744684665363,0.6997721180241316,0.47177625689911973,1.0199490941662483,0.10379935275403201,0.39873475296796285,158,2015,1,30,3,21,1
3,0.4135161083872659,0.41188215076300844,0.544723031492942,0.3478746593694779,0.3879896995024832,0.23651018280915953,0.9026102475071603,0.8320929776645845,170,2015,1,31,1,25,1
3,0.522491636282303,0.37472698924577086,0.33523606688689395,0.46877246920334076,0.2962725365337096,0.616258604473447,0.3499042954677987,0.40834823102811646,180,2015,2,1,14,24,1
2,0.4491840344832776,0.43460082466479616,0.558468594330297,0.5830723093397974,0.7059675955881944,0.9517478937099101,0.661671001679825,0.948822075421354,183,2015,2,2,8,7,1
3,0.49326288187086065,0.5244266607865429,0.392227288225255,0.40893965220131556,0.5427369336282977,0.2660246942161085,0.2206072567014007,0.41995374477637426,150,2015,2,3,4,47,1
2,0.47142464169111475,0.5025516848807196,0.39380904866984257,0.566241565181786,0.5550054667056294,0.7139165205969142,0.8315608147494895,0.7090118543982675,135,2015,2,4,6,59,1
3,0.48072651269227823,0.43358472111418933,0.5280559449080182,0.5383488853472305,0.34515452792513857,0.337668005910043,0.3190689966107766,0.1574847087463811,118,2015,1,1,19,34,1
2,0.6477894169438723,0.6773639901589082,0.6532997487836942,0.6533222807065036,0.6413396045119666,0.6083870796952684,0.46762228380918686,0.8035606478112896,166,2015,1,2,13,41,1
2,0.3108352068658875,0.6387026060703307,0.35645749847057717,0.5887048443660517,0.4019531013382739,0.6946349337091704,0.5519329820759231,0.9699911589103059,180,2015,1,3,22,40,1
1,0.4483423100962948,0.458683355983153,0.5652405161305004,0.3998519013723,0.4616391685328042,0.06683625641537921,0.20083875145757502,0.2930621857802761,139,2015,1,4,0,30,1
1,0.5229281674869322,0.46872650131816956,0.7191054698490698,0.4882385028576578,0.6618294402507543,0.6024210152971353,0.312466434463458,0.08105267190863308,182,2015,1,5,1,9,1
2,0.4183031178220711,0.433176250999328,0.5095274164090862,0.29807287614100264,0.30827259590273715,0.7275186320061722,0.42208578069868774,0.7532800412574401,139,2015,1,6,11,51,1
3,0.44306386472241766,0.5659856518963254,0.4091228820873388,0.41234719421299576,0.6104380436681727,0.4409428436625772,0.9040572110334228,0.6422282766438018,116,2015,1,7,13,24,1
2,0.44668761367786763,0.3507562573182293,0.3962180621096948,0.6389027871997871,0.5814790775914576,0.7723858177192602,0.1747338392042359,0.8548389483973495,133,2015,1,8,23,0,1
3,0.39037931460094544,0.22799233892577592,0.36277161342138997,0.579902480859307,0.5618304352076005,0.6432132382063362,0.39505883834613464,0.33072912792527365,124,2015,1,9,7,11,1
2,0.5096717522685713,0.5068848188056254,0.5918678673547957,0.48737987622411677,0.4234353273210457,0.6219768831861535,0.6855726553669582,0.7742321650160708,175,2015,1,10,7,16,1
1,0.7248943191619637,0.547545818117008,0.4083717510522246,0.510138567259812,0.48984819993803524,0.07473027996627557,0.6189730032602129,0.7606911297108438,113,2015,1,11,10,11,1
2,0.4902378572106583,0.7687703407634869,0.2821025108684866,0.4654263894847013,0.5488827781613733,0.7462728822492563,0.5841912545678258,0.9577190031504532,199,2015,1,12,1,8,1
3,0.6571135479663838,0.5423231840116732,0.46828912341774837,0.5062060741225525,0.36937805652350997,0.9825869521123658,0.5950325638280292,0.6060133706104746,103,2015,1,13,21,13,1
1,0.4840869405499143,0.5493673570939662,0.5029104696793956,0.4487355148961534,0.252509214121744,0.45381989449880217,0.6378854001665432,0.10365172151349661,157,2015,1,14,13,22,1
3,0.397119693511667,0.44961040082384063,0.24807108611458792,0.4949610406619938,0.43747408006254235,0.7228234624230406,0.27771527436998866,0.953954177899408,179,2015,1,15,14,3,1
1,0.5098054270256891,0.45835239423967833,0.5317847796827353,0.3773585568886434,0.577786955351802,0.9729630839173444,0.46810683293496586,0.05171110298135878,134,2015,1,16,2,55,1
3,0.508875391267338,0.47786825508462943,0.4469961186995403,0.4517628465552491,0.23725554582942948,0.6324255880126433,0.8954929670693221,0.6292747917149094,197,2015,1,17,14,4,1
1,0.716778848508494,0.7190842869364646,0.5985973190747349,0.25867644028963654,0.41160692189417714,0.49843888459014923,0.9158354257312582,0.04286252336978513,114,2015,1,18,0,28,1
1,0.5563320159237312,0.741608031313961,0.6391308787610794,0.662230146518267,0.4560829396200636,0.2510997728896271,0.9825063155211051,0.8714895580629304,118,2015,1,19,9,42,1
2,0.4703489878937477,0.3330445034005589,0.4281711989072329,0.32344051877671415,0.5336196907401479,0.96507325805652,0.7572741149841753,0.4012654194137506,104,2015,1,20,13,1,1
1,0.4586792868507798,0.6015444359039828,0.22267144729669314,0.5575360317019508,0.5260520881980291,0.7373957300497624,0.6386691701078184,0.5337267644138362,172,2015,1,21,6,55,1
2,0.540437290746087,0.5683167524182953,0.2926365348792076,0.49767999644169375,0.3602872550971551,0.9694077557464127,0.8781607202220288,0.5610978612779357,190,2015,1,22,6,54,1
1,0.42957586773318834,0.5131337464026419,0.5638938656171041,0.3749480438546138,0.540473876722402,0.6828002599339725,0.8767558026641076,0.46671323296489187,197,2015,1,23,9,42,1
1,0.46846382065549025,0.41803051303783717,0.6703238799530664,0.5672560309472674,0.6184583166015819,0.7415380385739974,0.4861789722639033,0.9925583412758694,198,2015,1,24,2,3,1
3,0.4732547047349763,0.34989055015874804,0.5500592625781318,0.6462490502781875,0.34658849237500156,0.6464363643059273,0.8536105040866787,0.20823982135515962,124,2015,1,25,19,25,1
2,0.41880035148970385,0.5601620675805394,0.5202702675162214,0.525460755995886,0.7117518747405764,0.756496604401642,0.3743398331027284,0.5069711504106729,193,2015,1,26,4,18,1
1,0.4281005113919648,0.6698317478574807,0.5424175292622082,0.5639735462539816,0.5142082119124909,0.13158170905096123,0.778074983494062,0.8758202273371674,109,2015,1,27,10,56,1
1,0.5452401966817524,0.5039512287738448,0.5783927046551413,0.49294344922941513,0.5797361789595896,0.7305787115308071,0.8698091671395439,0.8307637692381927,123,2015,1,28,13,14,1
1,0.5258769558502855,0.3694450488765468,0.36455861378497734,0.5913568010711168,0.51211864450227,0.6397863879724921,0.567132911696452,0.7058389286564615,131,2015,1,29,13,25,1
2,0.5280557728067604,0.7072514956560274,0.44912712383384296,0.5461578088946717,0.4909589864510474,0.22872950526362124,0.5537723766456041,1.0026198039621264,117,2015,1,30,1,29,1
3,0.42732212947855597,0.48347761678408235,0.3734271899534587,0.4883869617536752,0.5325596808509416,0.729922247021228,0.6220395050382771,0.5988441554397289,190,2015,1,31,13,42,1
2,0.7209957350161016,0.7090533819897908,0.5560629361334729,0.5898264338092496,0.4839797716904273,0.08210214067744664,0.7748714234509031,0.6434138678174899,178,2015,2,1,23,27,1
1,0.726828696181782,0.7645369690892094,0.3810055117608766,0.3557030324520466,0.48258722676404814,0.6382897278720618,0.9611743573698774,0.1992679250128055,134,2015,2,2,0,14,1
1,0.39595603925554423,0.730298882743616,0.4151558434573185,0.5068016420073727,0.40501937993268927,0.9813884222326721,0.5272703314713834,0.8447630341031624,164,2015,2,3,1,34,1
2,0.4918607563146357,0.4819942088211001,0.5024306135265649,0.39781041953897744,0.510635651047524,0.7088698209830697,0.6591104156228931,0.13400168707981158,189,2015,2,4,22,8,1
1,0.5421115883097668,0.4056399530208089,0.31032294417571665,0.5848005662238048,0.5151008580001155,0.5525994777762192,0.5740538828822255,0.1781499475563597,150,2015,1,1,23,46,1
1,0.5289398032974606,0.6106783118974185,0.526083134587823,0.5827582110210352,0.648918521922645,0.36714527284236653,0.22690280852323325,0.7636550761970649,101,2015,1,2,4,4,1
1,0.6889392491411029,0.4928291658548034,0.3242183651135153,0.4266044420871823,0.5042420153024254,0.6563109889002691,0.9170604257010763,0.2727439098414087,152,2015,1,3,11,59,1
3,0.5403326384799558,0.5098185718925139,0.5274624260083689,0.5226897401030912,0.5572098592987388,0.8673138083283012,0.5609595493605106,0.25071049933445505,165,2015,1,4,0,43,1
1,0.3548398036801632,0.7014522636624655,0.5070309963154586,0.3153210005295393,0.6001413607512011,0.03471392236461096,0.10881968359760597,0.5960568173909342,131,2015,1,5,0,3,1
3,0.4368165344568588,0.5895986043592751,0.42520408875824534,0.41303858380826497,0.4928134894056201,0.3977920426876155,0.7817369076393309,0.6331946280177324,189,2015,1,6,16,46,1
2,0.6744363667044084,0.5803420867864539,0.5244611051936702,0.45839168450429324,0.642317535217874,0.646453857110511,0.1829652666700995,0.22386902918370044,135,2015,1,7,15,12,1
1,0.6730636378067211,0.5218328730449142,0.5415273027616825,0.588150955719895,0.5817507374555118,0.9432259200060047,0.8844490902768423,0.2536292360361228,112,2015,1,8,9,31,1
2,0.5185695163589816,0.6620018036244812,0.47348970301654203,0.5311452338608575,0.6328245695010666,0.8327341864718059,0.9547406905441358,0.908043831207817,127,2015,1,9,0,4,1
1,0.5733640594429236,0.4241716236056535,0.42048138033743593,0.43498926069465466,0.5479589456996258,0.9220553891750451,0.38718674539312853,0.9722809048307935,107,2015,1,10,10,39,1
1,0.45031146669366673,0.3911032391059014,0.5506452890198665,0.6458648832352615,0.4144353828703615,0.5736332647451716,0.3525407001075482,0.9374696253501656,115,2015,1,11,11,8,1
1,0.39173621804007386,0.6391567630194634,0.4541851915297147,0.32877068500286244,0.4935740987624401,0.6118296537665276,0.8999697172016148,0.6592689930211865,179,2015,1,12,23,48,1
3,0.7691434043967665,0.653000147223469,0.16571838572777076,0.3747265298677569,0.5254855770994812,0.48043170433915916,0.9201097208904059,1.0200237914510368,175,2015,1,13,2,6,1
1,0.6131569287415155,0.36354560347163123,0.5899139742609311,0.5133280681534439,0.5986402042653407,0.608554384586136,0.8798943700865149,0.514344941053484,119,2015,1,14,10,54,1
3,0.4920670628345203,0.33099808168052514,0.4105148649454348,0.527447756328937,0.38112620431965094,0.3286471760260323,0.2916129446305604,0.40355620192411634,104,2015,1,15,19,22,1
1,0.4565747270248721,0.3719316796089798,0.5235871820536594,0.49164723484531225,0.4326282938156753,0.1161200946088401,0.4236987485666183,0.3160100999930262,167,2015,1,16,3,3,1
1,0.37211515263189554,0.5341572356935479,0.6106917461278227,0.491285319044984,0.3109368830740214,1.0000904773792647,0.37639823716769927,0.17677140712125233,167,2015,1,17,2,10,1
3,0.42875529746128827,0.469286094520953,0.23573480411065983,0.4011990582334042,0.601808478987405,0.6885397117737282,-0.015711357008276472,1.0202377326876295,189,2015,1,18,9,58,1
1,0.41728143582892896,0.6520212787452558,0.3283392172375637,0.6342976212400323,0.5620243322548703,0.18113589474179254,0.47664865906900966,0.9078459290150573,161,2015,1,19,11,33,1
2,0.654352366871865,0.5236547141816958,0.39174524843703,0.500644110340249,0.520782714410572,0.46246913322081934,0.6294661743427676,0.329317751525664,161,2015,1,20,18,37,1
3,0.4927534763889334,0.5811197935864654,0.2696713805122115,0.6161222060196598,0.5587803969665072,0.9534514470174669,0.3165509025562018,0.9301387353323922,159,2015,1,21,12,53,1
3,0.46969834530506593,0.5823192186142199,0.6420078250714595,0.5606097796299507,0.4148824369478574,0.967834469455749,0.8987689439123592,0.7874115490981217,161,2015,1,22,17,46,1
3,0.3958592399221388,0.8046379041509057,0.5471247114799457,0.3832393367594462,0.4697134953841713,0.6086163943248841,0.9332668851355581,0.9724380475554836,158,2015,1,23,17,36,1
2,0.5110401619426215,0.6883253994669133,0.4662696741382648,0.3354896156668955,0.25584381207281537,0.07033704336088309,0.2948804155288997,0.19249322876316555,115,2015,1,24,17,11,1
1,0.49228359382673037,0.6848604995024452,0.5394838194761017,0.6644911518851473,0.3501689482594301,0.2384722126969685,0.4056042026392147,0.6727731820343053,162,2015,1,25,10,6,1
3,0.47172407698667507,0.6247947384428825,0.5310062838186271,0.5718332790932452,0.49009515036651286,0.19337510860360346,0.23143459673157596,0.5119810366943526,146,2015,1,26,9,35,1
3,0.7562716622085753,0.7727474143557493,0.47508175648077966,0.3014405916033987,0.48537475000294045,0.496707236051176,0.8159094950354651,0.5398536966712404,186,2015,1,27,3,14,1
1,0.5377359613104538,0.49171671987644533,0.6747706772616746,0.42437569093956756,0.3731065452278153,0.5465963599709274,0.8671389592432566,0.685231757768863,175,2015,1,28,23,58,1
2,0.47779777955843994,0.6693520448228912,0.3780759810440703,0.5442263944963335,0.48134561618202015,0.5356249540082325,0.5684702266367194,0.27420583195793546,157,2015,1,29,20,17,1
3,0.7378573025826076,0.7749274267617906,0.5132516103747902,0.44626265790096764,0.4948343128815018,0.22831447326093313,0.06629453498546545,0.34849014992386296,135,2015,1,30,21,42,1
3,0.6583747301226827,0.5568583148297324,0.37699743514866646,0.6227012613464767,0.5084430099210444,0.7776511071069583,0.09405560081823106,0.5750515148892612,108,2015,1,31,10,49,1
2,0.3719737105372213,0.5952758544807242,0.3536437738275661,0.31660233924901693,0.310129877970983,0.96727983323738,0.2315684938786251,0.8667186306375316,177,2015,2,1,22,16,1
3,0.6571936465150497,0.41346986141094844,0.6160325150706191,0.5982036456213166,0.2922575936520066,0.6252042093555426,0.36806627388267166,0.2802836419461893,193,2015,2,2,7,42,1
2,0.5371681364573424,0.5007514581104133,0.47082784085421925,0.703931069610086,0.483984134498935,0.9925595788036197,0.7888793581640929,0.45874888902335015,167,2015,2,3,19,37,1
2,0.3933232098264414,0.3793712608811297,0.5779587572611853,0.632124124941805,0.4426180481418288,0.2916876568815231,0.3318910443979336,0.6269826117339183,150,2015,2,4,19,50,1
1,0.7436972731017084,0.4103854028813383,0.6362057061054021,0.4976530629366206,0.6390266327114925,0.9036386372999197,0.9281132674351291,0.7095240958106472,179,2015,1,1,15,23,1
3,0.4152307385729793,0.7296966259791782,0.3930202409698311,0.43057830663764424,0.5797410659725681,0.6360964716735255,0.11247979380680811,0.276361390538121,110,2015,1,2,2,26,1
1,0.3615515212484015,0.5331533956646184,0.5826219268157853,0.5906500978420397,0.4482628728331163,0.9190161103222573,0.5230231956899208,0.10347182134295624,182,2015,1,3,15,21,1
1,0.4560120185995231,0.5699187913421436,0.5311085100040304,0.6119403438059418,0.39984814096031246,0.6734101642010684,0.542941485417892,0.5167585227075986,168,2015,1,4,4,0,1
2,0.4299192552266067,0.6898959849793916,0.39246073409080917,0.4793199052450073,0.4515180995477368,0.7394611691216363,0.9634999433691922,0.9477940029205649,156,2015,1,5,16,2,1
3,0.48147782372964965,0.4435787920197237,0.5276097818589943,0.530446153814322,0.5662347279892457,0.7340792777755265,0.817499402936902,0.2538723700329163,161,2015,1,6,15,47,1
3,0.598454405007892,0.7563298939034475,0.5031191100069776,0.2920813008320239,0.3900720662551728,0.9633164876739462,0.8351778664769982,0.28642522719279667,100,2015,1,7,0,55,1
1,0.5239594619049972,0.5001823333858255,0.6233521524812817,0.6848355340959522,0.6485880887339652,0.5124262950398497,0.6274584234091961,0.4633693260194094,148,2015,1,8,17,14,1
3,0.502191139124921,0.703145307993249,0.5561059780926646,0.5841337239941184,0.32470474312133857,0.4428739279299288,0.8709907220514357,0.5838519682166853,168,2015,1,9,9,1,1
1,0.5119302251953309,0.47800207322744465,0.45095556690414734,0.41345368341498245,0.3565896922937034,0.7542677756614017,0.4175662672192952,0.6548023876420375,120,2015,1,10,19,26,1
3,0.43109039537378174,0.44319027521337473,0.3207358436068927,0.3865183766065513,0.3351032881830503,0.37483253734668026,0.46233364492358175,0.39034541573109,174,2015,1,11,3,4,1
2,0.556545501684812,0.5941101390870516,0.4271514083900841,0.5571967846944396,0.39844702022699685,0.06703329343845982,0.7948296713397147,0.9290374348786943,182,2015,1,12,16,16,1
1,0.7420241017825673,0.3462019983871196,0.38955494732115753,0.5997071356021326,0.24334066660407538,0.8768527063522054,0.95639340974685,0.6740534575333028,147,2015,1,13,18,7,1
2,0.3614381198588169,0.3882517740540329,0.4699537914101875,0.32840144942213323,0.4609430468787608,0.6030719878138245,0.2228339299731278,0.05539481763638404,190,2015,1,14,12,19,1
3,0.502585162086487,0.4440335339354785,0.5240628312007474,0.7250581432175307,0.5200944101639688,0.4229116900793122,0.7657935231987729,0.07458873094334967,181,2015,1,15,1,37,1
2,0.41286872341565817,0.4035326679999409,0.46177234805870604,0.201545360033838,0.4883775977251757,0.7685610171299958,0.762403464571805,0.09847114306128513,110,2015,1,16,3,35,1
3,0.6232983943297612,0.36582962934716956,0.43712436011619193,0.4908024037857758,0.39168195949666107,0.5547925266300193,0.3872820266736856,0.18418818409672788,174,2015,1,17,20,7,1
1,0.6009699533701613,0.46841280597834756,0.5108630142661273,0.6103811389007637,0.5016675999025602,0.6771006039191386,0.7661059985541254,0.9306119985928547,124,2015,1,18,21,24,1
2,0.5735109696905494,0.5074751092674116,0.5974897834209834,0.3067275636900231,0.38216577532255563,0.7380470319636049,0.4530750864773555,0.42754139846373135,177,2015,1,19,10,39,1
1,0.47119987714009604,0.48602609980063266,0.4867803611777922,0.5716938572060586,0.35084063241714397,0.6489920981771642,0.5628401301244556,0.18210828888059755,177,2015,1,20,13,41,1
1,0.6850892555932175,0.3729749865933729,0.7035729992485433,0.6347567014183326,0.33727966515458685,0.5851080513800362,0.7539587582976819,0.6066626239712825,139,2015,1,21,9,1,1
1,0.5187253247859933,0.48760415259996037,0.533908518089408,0.7066562993411241,0.6338674808171767,0.8243182780935165,0.6940422373859048,0.9472189094517549,119,2015,1,22,6,51,1
1,0.48318001891527923,0.5331200376866879,0.5858400802842396,0.6193948946589628,0.6125483360609979,0.08056522603262656,0.7780830934572853,0.5819468291875619,120,2015,1,23,7,3,1
1,0.4641333124348425,0.4673767829725713,0.3849113410014039,0.5634312893248944,0.5864400241750347,0.5792581571678824,0.8150588645945278,0.29202221178110344,150,2015,1,24,6,43,1
1,0.7355945714338031,0.5149576899483003,0.5300937740942746,0.5112276617224485,0.29873104362373415,0.9139346651665647,0.22433408373768993,0.9387674630411484,175,2015,1,25,1,48,1
1,0.48846940648857023,0.37006540717562264,0.40279027480912566,0.4594772999380236,0.5256553443482174,0.10934073330557786,0.6966551664105923,0.23092639271139948,134,2015,1,26,5,49,1
3,0.847426392772535,0.38457220090648314,0.6012840646527803,0.5540006029183452,0.5301369578091321,0.132067440134023,0.3943973101941711,0.12751322111255026,130,2015,1,27,12,42,1
3,0.5884211949301659,0.5537825580409034,0.40334427893678076,0.5227675335203774,0.3338896811807177,0.12714703642854913,0.6196373543971844,0.8678521242322412,185,2015,1,28,17,54,1
3,0.7531537306277408,0.3487090241120182,0.4817479541133843,0.4975240509559711,0.36939171341866045,0.7199416977062533,0.021893996036223662,0.7842471293903039,107,2015,1,29,15,11,1
3,0.4826251940529118,0.40393092207293396,0.3554612198490792,0.5458555013684766,0.24169987530165277,0.4241784211559051,0.05146196133398706,0.14625487092928402,198,2015,1,30,21,15,1
3,0.6721907800190268,0.5064413052685779,0.43937165400855915,0.5526172866281174,0.4779588299938305,0.605966435177442,0.3918269644267726,0.32319852726481224,124,2015,1,31,15,35,1
1,0.47673512062985773,0.5546277825182668,0.3973754865410176,0.4472154076476253,0.49853176574174535,0.9244133778951733,0.565179397066608,0.4689966020717687,139,2015,2,1,10,43,1
1,0.4132783557689105,0.6783812905494012,0.2466486623930768,0.5416772876825998,0.3213361608795836,0.6243993080644282,0.28720213131127426,0.3911388396999615,107,2015,2,2,2,42,1
2,0.49091885036706756,0.4248224100464325,0.22831835899355052,0.3714976751716491,0.643461489816974,0.9505270172662483,0.5538385398579581,0.3539418564652641,156,2015,2,3,16,0,1
3,0.5670186184496592,0.5471140687663699,0.4529054173231919,0.6225070574949156,0.5873433976700919,0.526525963915036,0.9609769813277107,0.019692045634949418,158,2015,2,4,6,13,1
2,0.6660856606797445,0.3880998263326486,0.5698510003949387,0.5113500146288302,0.5529369269936408,0.5132182143251156,0.9385339755897395,0.9401945624222878,155,2015,1,1,18,59,1
3,0.4566891424678448,0.5616542929675852,0.5887563814536518,0.531873765583669,0.4736998876396849,0.6040495435341605,0.15487195542856502,0.3496508404650865,146,2015,1,2,12,5,1
2,0.44436681106631537,0.5036833711340736,0.5688048489104168,0.5881856081880501,0.46537771947197126,0.3737936929674084,0.08051603346538966,0.22120163502920492,128,2015,1,3,13,14,1
2,0.41978502607355017,0.5177025154891407,0.39778623449016365,0.48928659613921344,0.6084526826212555,0.966044054130063,0.6880501740597562,0.6736866513867211,179,2015,1,4,20,30,1
2,0.7179124475536509,0.5345446583622939,0.511520521346047,0.4174558949581163,0.6938915601427403,0.7439965820151042,0.8695751480417429,0.9384866865076154,171,2015,1,5,2,42,1
2,0.4866305338397155,0.5327289167618373,0.6515317002134126,0.7313791489368485,0.646199610313463,0.05938244802211523,0.5235892449075992,0.5129561632262939,194,2015,1,6,0,53,1
2,0.6908538816189649,0.5999567993309518,0.5397540852528788,0.5249623355193673,0.44431049936168465,0.3875841578569601,0.8567811465852272,0.7623176847258518,171,2015,1,7,14,13,1
1,0.4645924052872572,0.44440479099920865,0.3613266371652277,0.7630007248247134,0.6037477610578066,0.6663534036613454,0.7451578526809035,0.4756889237995686,102,2015,1,8,12,22,1
1,0.37321542015984976,0.36933577508762916,0.46296817126047246,0.6351459242210713,0.19228632713364419,0.7117561422365268,0.9584390446870521,0.630751823948215,126,2015,1,9,23,8,1
3,0.6387545846068714,0.5345138181738501,0.3653987395682098,0.20919381579686758,0.36203270243171676,0.689909039130747,0.44560812259435184,0.1369096248309578,173,2015,1,10,14,54,1
2,0.7053409019258344,0.5397910248828452,0.6184392956400636,0.6831196926737196,0.25626339461596975,0.6716294810741543,0.43964740615214,0.5006384384743422,158,2015,1,11,18,51,1
1,0.4118690147100524,0.5141073183911884,0.2772631274296389,0.5768433090503656,0.5082943943292891,0.7318646734203601,0.3792603509342075,0.6394548050518634,131,2015,1,12,15,40,1
1,0.6201593495405773,0.3706297719930194,0.5965197878507665,0.4469619099472145,0.44232957883757884,0.399235162036996,0.6464091618535075,0.7206457895475619,175,2015,1,13,21,29,1
2,0.4686563517714767,0.6514254015730887,0.4951488036648065,0.8211825690901348,0.6184334541121798,0.7191406392996005,0.31308659381636617,0.18220936468729115,139,2015,1,14,9,36,1
3,0.50833156599065,0.40031030864710887,0.4076103275987253,0.5014740610734107,0.5050916227462431,0.8753981268311162,0.8557471589714138,0.12899705953893448,183,2015,1,15,9,12,1
1,0.48349553892977926,0.43448683555862316,0.29492131487815315,0.48286808757131056,0.45846183966585813,0.4725900360999014,0.3807681789539757,0.3862754537835544,164,2015,1,16,16,41,1
